Year,month,Lat,Lon
2005,"(2005, 5)",43.0747431,-89.3862085
2005,"(2005, 5)",43.12799589999999,-89.36134919999999
2005,"(2005, 5)",43.1078427,-89.3060804
2005,"(2005, 5)",43.06559000000001,-89.5031166
2005,"(2005, 5)",43.0729663,-89.39745750000002
2005,"(2005, 5)",43.0628091,-89.2989949
2005,"(2005, 5)",43.1132954,-89.33094059999999
2005,"(2005, 5)",43.0635716,-89.3986923
2005,"(2005, 5)",43.0982106,-89.3215317
2005,"(2005, 5)",43.032147,-89.460883
2005,"(2005, 5)",43.032147,-89.460883
2005,"(2005, 5)",43.0578774,-89.4001047
2005,"(2005, 5)",43.0703226,-89.39129559999999
2005,"(2005, 5)",43.0289256,-89.4597532
2005,"(2005, 5)",43.0915723,-89.3583233
2005,"(2005, 6)",43.0732643,-89.3811793
2005,"(2005, 6)",43.0535229,-89.45731339999999
2005,"(2005, 6)",43.03419179999999,-89.4565396
2005,"(2005, 6)",43.08564700000001,-89.37091339999999
2005,"(2005, 6)",43.0749211,-89.3882098
2005,"(2005, 6)",43.097361,-89.3526122
2005,"(2005, 6)",43.0807083,-89.364367
2005,"(2005, 6)",43.0748377,-89.39262699999999
2005,"(2005, 6)",43.063699,-89.50164559999999
2005,"(2005, 6)",43.0831998,-89.36082560000001
2005,"(2005, 6)",43.0431232,-89.4662761
2005,"(2005, 6)",43.10579560000001,-89.2973707
2005,"(2005, 6)",43.126105,-89.312192
2005,"(2005, 6)",43.0744561,-89.4088238
2005,"(2005, 6)",43.0844697,-89.3761735
2005,"(2005, 6)",43.1031698,-89.34462409999999
2005,"(2005, 6)",43.0404991,-89.4027528
2005,"(2005, 6)",43.0565818,-89.4607734
2005,"(2005, 6)",43.05874540000001,-89.5179727
2005,"(2005, 5)",43.1025612,-89.29405419999999
2005,"(2005, 6)",43.0317903,-89.4798058
2005,"(2005, 3)",43.07483879999999,-89.3925936
2005,"(2005, 6)",43.0762033,-89.3826922
2005,"(2005, 6)",43.1287566,-89.3594865
2005,"(2005, 6)",43.0288824,-89.4580323
2005,"(2005, 6)",43.0283074,-89.4615317
2005,"(2005, 6)",43.0574671,-89.4388038
2005,"(2005, 6)",43.0840758,-89.50659130000001
2005,"(2005, 6)",43.0283074,-89.4615317
2005,"(2005, 6)",43.1402292,-89.38647329999999
2005,"(2005, 6)",43.0116196,-89.473694
2005,"(2005, 6)",43.0839622,-89.31626279999999
2005,"(2005, 6)",43.09635100000001,-89.48994189999999
2005,"(2005, 3)",43.0730517,-89.4012302
2005,"(2005, 6)",43.1145074,-89.3286129
2005,"(2005, 6)",43.0330352,-89.4769451
2005,"(2005, 6)",43.0283074,-89.4615317
2005,"(2005, 6)",43.1142387,-89.3637846
2005,"(2005, 6)",43.0741099,-89.38281510000002
2005,"(2005, 6)",43.0563696,-89.3965511
2005,"(2005, 6)",43.068152,-89.4512549
2005,"(2005, 6)",43.0702637,-89.31997109999999
2005,"(2005, 6)",43.0734333,-89.39769799999999
2005,"(2005, 6)",43.097886,-89.364085
2005,"(2005, 6)",43.0720123,-89.39588719999999
2005,"(2005, 6)",43.09333950000001,-89.3636741
2005,"(2005, 6)",43.06962559999999,-89.38855749999999
2005,"(2005, 7)",43.0598995,-89.3854753
2005,"(2005, 6)",43.0408197,-89.3747411
2005,"(2005, 6)",43.073967,-89.52363199999999
2005,"(2005, 7)",43.0582941,-89.4107859
2005,"(2005, 7)",43.0901003,-89.36642549999999
2005,"(2005, 6)",43.0901316,-89.3566889
2005,"(2005, 7)",43.0769853,-89.500627
2005,"(2005, 7)",43.0660369,-89.40193149999999
2005,"(2005, 7)",43.05683399999999,-89.309479
2005,"(2005, 7)",43.0408197,-89.3747411
2005,"(2005, 7)",43.047796,-89.39151559999999
2005,"(2005, 7)",43.0391229,-89.487352
2005,"(2005, 7)",43.0391229,-89.487352
2005,"(2005, 7)",43.0457866,-89.49101
2005,"(2005, 7)",43.0391229,-89.487352
2005,"(2005, 7)",43.1138105,-89.3284434
2005,"(2005, 7)",43.1287479,-89.308607
2005,"(2005, 7)",43.1354397,-89.38518549999999
2005,"(2005, 7)",43.1354397,-89.38518549999999
2005,"(2005, 7)",43.042313,-89.394429
2005,"(2005, 7)",43.0641812,-89.50277299999999
2005,"(2005, 7)",43.0391229,-89.487352
2005,"(2005, 7)",43.0457866,-89.49101
2005,"(2005, 7)",43.0606497,-89.46140670000001
2005,"(2005, 7)",43.0607464,-89.40112959999999
2005,"(2005, 7)",43.10389079999999,-89.34279599999999
2005,"(2005, 7)",43.1339628,-89.3083037
2005,"(2005, 7)",43.0615489,-89.40118249999999
2005,"(2005, 7)",43.0615573,-89.40101150000001
2005,"(2005, 7)",43.0988511,-89.36453999999999
2005,"(2005, 7)",43.08201529999999,-89.4756712
2005,"(2005, 7)",43.0615573,-89.40101150000001
2005,"(2005, 7)",43.0941792,-89.35380680000002
2005,"(2005, 7)",43.0789883,-89.3875135
2005,"(2005, 7)",43.0716832,-89.3801502
2005,"(2005, 7)",43.041528,-89.504959
2005,"(2005, 7)",43.0615573,-89.40101150000001
2005,"(2005, 7)",43.0289256,-89.4597532
2001,"(2001, 12)",43.08069099999999,-89.3815056
2005,"(2005, 7)",43.097361,-89.3526122
2005,"(2005, 7)",43.0907921,-89.3441722
2005,"(2005, 7)",43.0296729,-89.4177464
2005,"(2005, 7)",43.0431232,-89.4662761
2005,"(2005, 7)",43.0398637,-89.3973087
2005,"(2005, 7)",43.0487068,-89.3953178
2005,"(2005, 7)",43.0723971,-89.38255009999999
2005,"(2005, 7)",43.0542127,-89.4900543
2005,"(2005, 7)",43.0358446,-89.4135725
2005,"(2005, 7)",43.0146933,-89.4983024
2005,"(2005, 7)",43.0463161,-89.48830219999999
2005,"(2005, 7)",43.089487,-89.36462209999999
2005,"(2005, 7)",43.0938947,-89.34732819999999
2005,"(2005, 7)",43.0723971,-89.38255009999999
2005,"(2005, 8)",43.0770654,-89.3784991
2005,"(2005, 8)",43.1341137,-89.37021879999999
2005,"(2005, 8)",43.0779721,-89.3908471
2005,"(2005, 4)",43.0768455,-89.3929635
2005,"(2005, 8)",43.0898139,-89.2854283
2005,"(2005, 8)",43.050276,-89.47499309999999
2005,"(2005, 8)",43.0853396,-89.37451279999999
2005,"(2005, 8)",43.1028022,-89.33918489999999
2005,"(2005, 8)",43.0363516,-89.2916558
2005,"(2005, 8)",43.0289256,-89.4597532
2005,"(2005, 8)",43.0631191,-89.4089992
2005,"(2005, 8)",43.0321955,-89.4486022
2005,"(2005, 8)",43.1046531,-89.3377294
2005,"(2005, 8)",43.0832512,-89.36432719999999
2005,"(2005, 8)",43.142996,-89.3878421
2005,"(2005, 8)",43.046001,-89.5007808
2005,"(2005, 8)",43.0705045,-89.3877557
2005,"(2005, 8)",43.0581887,-89.387836
2005,"(2005, 8)",43.0573878,-89.50590679999999
2005,"(2005, 8)",43.0550156,-89.4932836
2005,"(2005, 8)",43.0723561,-89.4291836
2005,"(2005, 8)",43.016172,-89.492148
2005,"(2005, 8)",43.0748377,-89.39262699999999
2005,"(2005, 8)",43.0478509,-89.50172099999999
2005,"(2005, 8)",43.04312789999999,-89.50141699999999
2005,"(2005, 8)",43.0769732,-89.3819513
2005,"(2005, 8)",43.0573878,-89.50590679999999
2005,"(2005, 9)",43.0699446,-89.4126871
2005,"(2005, 9)",43.092306,-89.35466
2005,"(2005, 9)",43.031331,-89.45903539999999
2005,"(2005, 9)",43.075796,-89.4385611
2005,"(2005, 9)",43.0671074,-89.5032171
2005,"(2005, 9)",43.0384599,-89.5021874
2005,"(2005, 9)",43.0310873,-89.4800885
2005,"(2005, 9)",43.0489742,-89.503249
2005,"(2005, 9)",43.0683984,-89.3923368
2005,"(2005, 9)",43.0760909,-89.391654
2005,"(2005, 9)",43.0293307,-89.35763759999999
2005,"(2005, 9)",43.0333394,-89.4217254
2005,"(2005, 9)",43.0736929,-89.4029771
2005,"(2005, 9)",43.0310873,-89.4800885
2005,"(2005, 9)",43.0427093,-89.2745314
2005,"(2005, 9)",43.0629147,-89.49628919999999
2005,"(2005, 9)",43.0586147,-89.4038542
2005,"(2005, 9)",43.0638729,-89.50086569999999
2005,"(2005, 9)",43.0430111,-89.3790166
2005,"(2005, 9)",43.0638729,-89.50086569999999
2005,"(2005, 9)",43.0642323,-89.3198225
2005,"(2005, 9)",43.0372503,-89.3884301
2005,"(2005, 9)",43.0685665,-89.3887845
2005,"(2005, 9)",43.1025612,-89.29405419999999
2005,"(2005, 9)",43.0734196,-89.46445779999999
2005,"(2005, 9)",43.0734196,-89.46445779999999
2005,"(2005, 9)",43.037061,-89.46601849999999
2005,"(2005, 9)",43.0687502,-89.39193739999999
2005,"(2005, 9)",43.0309769,-89.4620119
2005,"(2005, 9)",43.0806404,-89.3684229
2005,"(2005, 9)",43.102656,-89.29882669999999
2005,"(2005, 9)",43.0642189,-89.40564970000001
2005,"(2005, 9)",43.1421935,-89.3048034
2005,"(2005, 9)",43.0303314,-89.4595051
2005,"(2005, 9)",43.064777,-89.30971989999999
2005,"(2005, 9)",43.0283074,-89.4615317
2005,"(2005, 9)",43.09188229999999,-89.3555148
2005,"(2005, 9)",43.14060730000001,-89.3899165
2005,"(2005, 9)",43.1183041,-89.3288702
2005,"(2005, 9)",43.0583322,-89.43194470000002
2005,"(2005, 9)",43.031331,-89.45903539999999
2005,"(2005, 9)",43.1329338,-89.3750896
2005,"(2005, 9)",43.072852,-89.39088339999999
2005,"(2005, 9)",43.0839716,-89.3005486
2005,"(2005, 9)",43.0281425,-89.4595308
2005,"(2005, 9)",43.098619,-89.322148
2005,"(2005, 9)",43.08656269999999,-89.4818128
2005,"(2005, 9)",43.0785516,-89.2923595
2005,"(2005, 9)",43.0730517,-89.4012302
2005,"(2005, 9)",43.1102772,-89.2980136
2005,"(2005, 9)",43.1317615,-89.30301390000001
2005,"(2005, 10)",43.0398373,-89.3941079
2005,"(2005, 10)",43.0289256,-89.4597532
2005,"(2005, 9)",43.0583322,-89.43194470000002
2005,"(2005, 10)",43.07523070000001,-89.45704459999999
2005,"(2005, 10)",43.0430398,-89.3918894
2005,"(2005, 10)",43.124268,-89.3104225
2005,"(2005, 10)",43.0676967,-89.40407689999999
2005,"(2005, 10)",43.1154485,-89.29985330000001
2005,"(2005, 10)",43.0465732,-89.4808812
2005,"(2005, 10)",43.0847254,-89.28857939999999
2005,"(2005, 10)",43.0290007,-89.4229975
2005,"(2005, 10)",43.124268,-89.3104225
2005,"(2005, 10)",43.0655069,-89.398538
2005,"(2005, 10)",43.0810823,-89.4770017
