X,Y,OBJECTID,LONG_NAME,SHORT_NAME,POLICE_STATION_STATUS,COMMENT,ADDRESS,URL
-89.497716151786008,43.033847510267613,6,West Police District,West,A,None,,
-89.395993414810235,43.039529933068152,7,South Police District,South,A,None,,
-89.355788520504831,43.129739144679242,8,North Police District,North,A,None,,
-89.382712757929468,43.072188318684383,9,Main Police District,Main,A,None,,
-89.285354440273949,43.08519459101138,10,East Police District,East,A,None,809 S Thompson Dr,
-89.442909324499936,43.061267101522738,11,Midtown Police District,Midtown,P,None,4018 Mineral Point Road,
